chr strand tss gene
chr2 + 14772806 FAM84A
chr8 - 127564682 FAM84B
chr8 - 12039612 FAM86B1
chr8 - 12283123 FAM86B2
chr1 - 231154703 FAM89A
chr11 + 65339819 FAM89B
chr6 + 17600517 FAM8A1
chr12 - 8373855 FAM90A1
chr8 + 124780678 FAM91A1
chr16 - 85131957 FAM92B
chr9 + 42468588 FAM95B1
chr15 - 64364757 FAM96A
chr16 - 66965957 FAM96B
chr2 - 33808727 FAM98A
chr15 + 38746327 FAM98B
chr19 + 38893774 FAM98C
chr11 + 1686828 FAM99A
chr11 - 1704499 FAM99B
chrX - 8758836 FAM9A
chrX - 8992272 FAM9B
chrX - 13053735 FAM9C
chr16 - 89803958 FANCA
chrX - 14861528 FANCB
chr9 - 97872507 FANCC
chr3 + 10068070 FANCD2
chr6 + 35420137 FANCE
chr11 - 22644078 FANCF
chr9 - 35073834 FANCG
chr15 + 89787193 FANCI
chr2 - 58386377 FANCL
chr14 + 45605141 FANCM
chr10 + 127585107 FANK1
chr2 - 163027193 FAP
chr11 + 13690205 FAR1
chr12 + 29301935 FAR2
chr13 + 98794815 FARP1
chr2 + 242295663 FARP2
chr6 + 5261250 FARS2
chr19 - 13033283 FARSA
chr2 - 223436161 FARSB
chr10 + 90750315 FAS
chr1 + 172628147 FASLG
chr17 - 80036213 FASN
chr7 - 150773707 FASTK
chr2 - 170385017 FASTKD1
chr2 + 207630111 FASTKD2
chr5 - 7859271 FASTKD3
chr20 - 3127164 FASTKD5
chr4 - 187508936 FAT1
chr5 - 150883652 FAT2
chr11 + 92085261 FAT3
chr4 + 126237566 FAT4
chrX + 150884507 FATE1
chr11 - 64888098 FAU
chr17 - 73905654 FBF1
chr19 - 40325092 FBL
chr1 + 16085254 FBLIM1
chr5 + 167956581 FBLL1
chr22 + 45898718 FBLN1
chr3 + 13590624 FBLN2
chr14 - 92335754 FBLN5
chr2 + 112895961 FBLN7
chr15 - 48700502 FBN1
chr5 - 127593600 FBN2
chr19 - 8130285 FBN3
chr9 - 97365420 FBP1
chr9 - 97320995 FBP2
chr16 + 30670839 FBRS
chr12 + 133067156 FBRSL1
chr19 - 9920942 FBXL12
chr7 - 102453307 FBXL13
chr12 - 1675158 FBXL14
chr10 + 104179570 FBXL15
chr16 - 742499 FBXL16
chr5 - 107194733 FBXL17
chr7 - 5515427 FBXL18
chr16 + 30934375 FBXL19
chr3 + 33318933 FBXL2
chr17 - 37408896 FBXL20
chr5 + 135266005 FBXL21
chr15 + 63889551 FBXL22
chr13 - 77579388 FBXL3
chr6 - 99321600 FBXL4
chr4 - 15606006 FBXL5
chr8 - 145579087 FBXL6
chr5 + 15500304 FBXL7
chr16 + 67193890 FBXL8
chr9 - 37510888 FBXO10
chr2 - 48034058 FBXO11
chr18 - 71740587 FBXO15
chr8 - 28285925 FBXO16
chr19 - 39432040 FBXO17
chr10 + 5931534 FBXO18
chr1 - 11708417 FBXO2
chr12 - 117581584 FBXO21
chr15 + 76196199 FBXO22
chr7 + 100187195 FBXO24
chr8 + 356807 FBXO25
chr19 - 39514662 FBXO27
chr1 + 224301788 FBXO28
chr11 - 33762489 FBXO3
chr6 - 146119271 FBXO30
chr16 - 87360592 FBXO31
chr8 - 124510126 FBXO32
chr14 - 39865576 FBXO33
chr14 + 55738020 FBXO34
chr2 + 230787206 FBXO36
chr5 + 147763497 FBXO38
chr17 + 6679551 FBXO39
chr5 + 41925355 FBXO4
chr3 + 121312169 FBXO40
chr2 - 73481809 FBXO41
chr1 - 16573334 FBXO42
chr8 - 101145587 FBXO43
chr1 + 11714431 FBXO44
chr3 + 196295724 FBXO45
chr19 - 46213886 FBXO46
chr17 - 37092684 FBXO47
chr2 - 68689504 FBXO48
chr6 - 153291653 FBXO5
chr1 + 11724149 FBXO6
chr22 + 32870706 FBXO7
chr4 - 175157809 FBXO8
chr6 + 52935770 FBXO9
chr17 + 18647325 FBXW10
chr5 - 171288555 FBXW11
chr3 + 48413708 FBXW12
chr9 - 123519253 FBXW2
chr10 - 103370420 FBXW4
chr9 - 139834884 FBXW5
chr4 - 153242409 FBXW7
chr12 + 117348760 FBXW8
chr19 - 12799729 FBXW9
chr1 - 207131311 FCAMR
chr19 + 55385548 FCAR
chr1 + 159259503 FCER1A
chr1 + 161185086 FCER1G
chr19 - 7753642 FCER2
chr14 + 75179849 FCF1
chr19 - 40353962 FCGBP
chr1 + 149754249 FCGR1A
chr1 - 120926127 FCGR1B
chr1 + 161475204 FCGR2A
chr1 + 161632904 FCGR2B
chr1 + 161551128 FCGR2C
chr1 - 161511550 FCGR3A
chr1 - 161592987 FCGR3B
chr19 + 50015535 FCGRT
chr19 + 17858526 FCHO1
chr5 + 72251807 FCHO2
chr5 - 141018868 FCHSD1
chr11 - 72547789 FCHSD2
chr9 - 137795081 FCN1
chr9 + 137772657 FCN2
chr1 - 27695600 FCN3
chr1 - 157764193 FCRL1
chr1 - 157715522 FCRL2
chr1 - 157646270 FCRL3
chr1 - 157543538 FCRL4
chr1 - 157483166 FCRL5
chr1 + 159770300 FCRL6
chr1 + 161676761 FCRLA
chr1 + 161691333 FCRLB
chr8 + 11660119 FDFT1
chr1 + 155278538 FDPS
chr11 + 110300660 FDX1
chr19 - 10420886 FDX1L
chr11 - 111744779 FDXACB1
chr17 - 72858618 FDXR
chr18 - 55212072 FECH
chr19 + 4791727 FEM1A
chr15 + 68570140 FEM1B
chr5 - 114856607 FEM1C
chr11 + 61560108 FEN1
chr5 + 108260306 FER
chr20 - 34146506 FER1L4
chr2 + 97308473 FER1L5
chr8 + 124864226 FER1L6
chr7 - 19184404 FERD3L
chr20 - 6055491 FERMT1
chr14 - 53323988 FERMT2
chr11 + 63974151 FERMT3
chr15 + 91427687 FES
chr3 + 186358148 FETUB
chr2 - 219845808 FEV
chr11 - 125358095 FEZ1
chr2 - 36779403 FEZ2
chr7 - 121941362 FEZF1
chr3 - 62355346 FEZF2
chr19 + 35842444 FFAR1
chr19 + 35940616 FFAR2
chr19 + 35849361 FFAR3
chr4 - 155504277 FGA
chr4 + 155484131 FGB
chrX - 54471886 FGD1
chr6 + 36973422 FGD2
chr9 + 95736717 FGD3
chr12 + 32654976 FGD4
chr3 + 14860468 FGD5
chr12 - 95470524 FGD6
chr5 - 141971742 FGF1
chr5 - 44305096 FGF10
chr17 + 7341591 FGF11
chr3 - 191857181 FGF12
chrX - 137713733 FGF13
chr13 - 102373204 FGF14
chrX + 76709646 FGF16
chr8 + 21900263 FGF17
chr5 + 170846666 FGF18
chr11 - 69513005 FGF19
chr4 + 123747862 FGF2
chr8 - 16850333 FGF20
chr19 + 49258815 FGF21
chr19 + 639894 FGF22
chr12 - 4477392 FGF23
chr11 - 69624735 FGF3
chr11 - 69587796 FGF4
chr4 + 81187741 FGF5
chr12 - 4543307 FGF6
chr15 + 49715374 FGF7
chr10 - 103529886 FGF8
chr13 + 22245214 FGF9
chr4 - 15937192 FGFBP1
chr4 - 15961862 FGFBP2
chr10 - 93666344 FGFBP3
chr8 - 38268655 FGFR1
chr6 + 167412804 FGFR1OP
chr12 + 27091304 FGFR1OP2
chr10 - 123237843 FGFR2
chr4 + 1795038 FGFR3
chr5 + 176513872 FGFR4
chr4 + 1006251 FGFRL1
chr4 - 155525285 FGG
chr1 + 59775749 FGGY
chr8 - 17721899 FGL1
chr7 - 76822687 FGL2
chr1 - 27938800 FGR
chr1 - 241660856 FH
chr1 + 15573767 FHAD1
chr4 + 153864134 FHDC1
chr3 - 59733003 FHIT
chrX + 135251795 FHL1
chr2 - 105977282 FHL2
chr1 - 38462441 FHL3
chr6 + 97010400 FHL5
chr16 - 67263291 FHOD1
chr18 + 33877658 FHOD3
chr9 - 133777824 FIBCD1
chr11 + 27015627 FIBIN
chr11 - 65651210 FIBP
chr12 + 108909050 FICD
chr6 + 110012423 FIG4
chr2 - 71004441 FIGLA
chr2 - 164461461 FIGN
chr7 - 50505017 FIGNL1
chr12 - 52211675 FIGNL2
chr6 - 76001573 FILIP1
chr3 - 99551987 FILIP1L
chr4 + 54243819 FIP1L1
chr7 - 100882892 FIS1
chr14 + 24600674 FITM1
chr20 - 42931477 FITM2
chr19 - 56102736 FIZ1
chr11 + 35639734 FJX1
chr17 + 39968961 FKBP10
chr12 - 49315741 FKBP11
chr7 - 30050198 FKBP14
chr9 - 115927799 FKBP15
chr20 - 1352355 FKBP1A
chr19 - 58336666 FKBP1AP1
chr2 + 24272570 FKBP1B
chr11 + 64009587 FKBP2
chr14 - 45584801 FKBP3
chr12 + 2904107 FKBP4
chr6 - 35548333 FKBP5
chr7 + 72742234 FKBP6
chr2 - 179328390 FKBP7
chr19 - 18642561 FKBP8
chr7 + 33019085 FKBP9
chr6 - 32096483 FKBPL
chr19 + 47249302 FKRP
chr13 + 100003673 FKSG29
chr9 + 108320410 FKTN
chr1 + 154955769 FLAD1
chr17 - 17115526 FLCN
chr1 - 152274650 FLG
chr1 - 152321212 FLG2
chr11 + 128563810 FLI1
chr17 - 18148130 FLII
chr15 - 50641134 FLJ10038
chr12 + 54452037 FLJ12825
chr12 + 31477249 FLJ13224
chr20 + 61885329 FLJ16779
chr1 + 180167143 FLJ23867
chr19 - 7004963 FLJ25758
chr16 + 86588925 FLJ30679
chr6 + 114225550 FLJ34503
chr17 + 21904061 FLJ36000
chr4 - 7099150 FLJ36777
chr10 - 91451056 FLJ37201
chr1 - 16160709 FLJ37453
chr3 + 187896330 FLJ42393
chr16 + 2688982 FLJ42627
chrX + 71364033 FLJ44635
chrX - 153576899 FLNA
chr3 + 57994126 FLNB
chr7 + 128470482 FLNC
chr6_cox_hap2 - 2207551 FLOT1
chr17 - 27206356 FLOT2
chr11 + 63871361 FLRT1
chr14 + 85996368 FLRT2
chr20 - 14304638 FLRT3
chr13 - 28942233 FLT1
chr13 - 28577410 FLT3
chr19 + 49977465 FLT3LG
chr5 - 180028505 FLT4
chr1 + 213031596 FLVCR1
chr14 + 76044939 FLVCR2
chr16 + 2961979 FLYWCH1
chr16 + 2933195 FLYWCH2
chr15 - 33441984 FMN1
chr1 + 240255184 FMN2
chr17 + 43299291 FMNL1
chr2 + 153191750 FMNL2
chr12 - 50031723 FMNL3
chr1 + 171217609 FMO1
chr1 + 171154346 FMO2
chr1 + 171060017 FMO3
chr1 + 171283321 FMO4
chr1 - 146657839 FMO5
chr1 + 171106878 FMO6P
chr1 + 166573152 FMO9P
chr1 - 203309748 FMOD
chrX + 146993468 FMR1
chrX + 147062848 FMR1NB
chr2 - 216225162 FN1
chr17 + 80693451 FN3K
chr17 + 80674581 FN3KRP
chr9 - 132649465 FNBP1
chr1 + 93913687 FNBP1L
chr11 - 47738061 FNBP4
chr6 + 159590428 FNDC1
chr13 + 49550047 FNDC3A
chr3 + 171757417 FNDC3B
chr2 - 27714749 FNDC4
chr1 - 33327868 FNDC5
chr1 + 109255555 FNDC7
chr17 + 33448630 FNDC8
chr5 - 130977406 FNIP1
chr4 + 159690146 FNIP2
chr8 + 42911441 FNTA
chr14 + 65453506 FNTB
chr11 - 49168186 FOLH1
chr11 + 89392464 FOLH1B
chr11 + 71900601 FOLR1
chr11 + 71927818 FOLR2
chr11 + 71846755 FOLR3
chr14 + 75745480 FOS
chr19 + 45971252 FOSB
chr11 - 65659606 FOSL1
chr2 + 28615778 FOSL2
chr14 - 38058756 FOXA1
chr20 - 22561641 FOXA2
chr19 + 46367517 FOXA3
chr15 + 60296420 FOXB1
chr9 + 79634570 FOXB2
chr6 + 1610680 FOXC1
chr16 + 86600856 FOXC2
chr5 - 72742084 FOXD1
chr1 + 47901688 FOXD2
chr1 + 63788729 FOXD3
chr9 - 116230 FOXD4
chr2 + 114256660 FOXD4L1
chr9 + 70917782 FOXD4L3
chr9 - 70175706 FOXD4L5
chr9 - 69199479 FOXD4L6
chr9 + 100615536 FOXE1
chr1 + 47881743 FOXE3
chr16 + 86544132 FOXF1
chr6 + 1390068 FOXF2
chr14 + 29236277 FOXG1
chr8 - 145699114 FOXH1
chr5 + 169532916 FOXI1
chr10 + 129535537 FOXI2
chr2 - 88747725 FOXI3
chr17 - 74132414 FOXJ1
chr12 + 8185358 FOXJ2
chr1 - 42642209 FOXJ3
chr7 + 4721929 FOXK1
chr17 + 80477593 FOXK2
chr16 + 86612114 FOXL1
chr3 - 138663065 FOXL2
chr12 - 2966846 FOXM1
chr17 + 26850958 FOXN1
chr2 + 48541794 FOXN2
chr14 - 89622515 FOXN3
chr12 - 109715782 FOXN4
chr13 - 41129800 FOXO1
chr6 + 108881025 FOXO3
chr17 - 18569235 FOXO3B
chrX + 70315998 FOXO4
chr3 - 71003864 FOXP1
chr7 + 114055051 FOXP2
chrX - 49106896 FOXP3
chr6 + 41514163 FOXP4
chr6 + 1312674 FOXQ1
chr11 + 118842416 FOXR1
chrX + 55649832 FOXR2
chr11 + 126138934 FOXRED1
chr22 - 36883232 FOXRED2
chr20 - 30432102 FOXS1
chr9 + 130565136 FPGS
chr1 + 74663895 FPGT
chr19 - 52249025 FPR1
chr19 + 52264452 FPR2
chr19 + 52298398 FPR3
chr4 + 78978723 FRAS1
chr10 + 99079021 FRAT1
chr10 - 99092253 FRAT2
chr9 - 14734663 FREM1
chr13 + 39261172 FREM2
chr4 + 190861973 FRG1
chr4 - 190945522 FRG2
chr10 - 135438602 FRG2B
chr3 + 75713486 FRG2C
chr6 - 116262692 FRK
chr6 - 168456463 FRMD1
chr9 - 85857904 FRMD3
chr10 - 13685705 FRMD4A
chr3 - 69217933 FRMD4B
chr15 - 44162958 FRMD5
chr14 + 51955838 FRMD6
chrX - 131211013 FRMD7
chr11 + 65154040 FRMD8
chr9 + 37651051 FRMPD1
chr10 - 49364601 FRMPD2
chrX + 12156584 FRMPD4
chr1 - 100174258 FRRS1
chr12 + 69864128 FRS2
chr6 - 41737913 FRS3
chr13 + 32605436 FRY
chr4 - 48499379 FRYL
chr2 - 183698004 FRZB
chr14 - 44973353 FSCB
chr7 + 5632435 FSCN1
chr17 + 79495416 FSCN2
chr7 + 127233688 FSCN3
chr19 + 4304590 FSD1
chr9 + 108210314 FSD1L
chr15 - 83424116 FSD2
chr11 + 30252562 FSHB
chr2 - 49189295 FSHR
chr15 - 39892231 FSIP1
chr5 + 52776263 FST
chr3 - 120113060 FSTL1
chr19 + 676388 FSTL3
chr5 - 132532151 FSTL4
chr4 - 162305043 FSTL5
chr21 - 47556175 FTCD
chr11 - 61731756 FTH1
chrX - 31089357 FTHL17
chr19 + 49468565 FTL
chr4 + 69048009 FTLP10
chr5 + 121187649 FTMT
chr16 + 53737874 FTO
chrX + 48334408 FTSJ1
chr17 - 61896792 FTSJ3
chr1 - 78412166 FUBP1
chr9 + 133454959 FUBP3
chr1 - 24171571 FUCA1
chr6 - 143815948 FUCA2
chr16 + 70488497 FUK
chrX - 44382884 FUNDC1
chrX + 154255063 FUNDC2
chr2 + 84517805 FUNDC2P2
chr15 + 91416107 FURIN
chr16 + 31191430 FUS
chr19 - 49251267 FUT1
chr8 - 33228343 FUT10
chr10 + 75532048 FUT11
chr19 + 49199227 FUT2
chr19 - 5842898 FUT3
chr11 + 94277016 FUT4
chr19 - 5865836 FUT5
chr19 - 5830636 FUT6
chr9 - 139924625 FUT7
chr14 + 65877309 FUT8
chr6 + 96463844 FUT9
chr19 - 50310123 FUZ
chr9 + 71650478 FXN
chr3 + 180630233 FXR1
chr17 - 7494547 FXR2
chr19 + 35629896 FXYD1
chr11 - 117690789 FXYD2
chr19 + 35606731 FXYD3
chr10 + 43867091 FXYD4
chr19 + 35645624 FXYD5
chr11 - 117707690 FXYD6
chr19 + 35634153 FXYD7
chr5 - 39105353 FYB
chr3 - 45959390 FYCO1
chr6 - 111981534 FYN
chr3 + 197476423 FYTTD1
chr7 + 90893782 FZD1
chr12 + 130647003 FZD10
chr17 + 42634811 FZD2
chr8 + 28351721 FZD3
chr11 - 86656716 FZD4
chr2 - 208627309 FZD5
chr8 + 104311058 FZD6
chr2 + 202899309 FZD7
chr10 - 35927176 FZD8
chr7 + 72848108 FZD9
chr19 + 3506294 FZR1
chr1 + 209848669 G0S2
chr14 + 31028328 G2E3
chr5 + 151151475 G3BP1
chr4 - 76567952 G3BP2
chr17 + 41052813 G6PC
chr2 + 169757749 G6PC2
chr17 + 42148097 G6PC3
chrX - 153759604 G6PD
chr17 + 78075324 GAA
chr4 + 144257982 GAB1
chr11 - 77926335 GAB2
chrX - 153903526 GAB3
chr22 - 17442826 GAB4
chr17 - 7143737 GABARAP
chr12 + 10365488 GABARAPL1
chr16 + 75600248 GABARAPL2
chr15 - 90889762 GABARAPL3
chr6_dbb_hap3 - 873361 GABBR1
chr9 - 101050363 GABBR2
chr21 + 27107257 GABPA
chr15 - 50578076 GABPB1
chr1 + 151043053 GABPB2
chr5 + 161274196 GABRA1
chr4 - 46245564 GABRA2
chrX - 151335633 GABRA3
chr4 - 46920916 GABRA4
chr15 + 27111865 GABRA5
chr5 + 161112657 GABRA6
chr4 + 47033294 GABRB1
chr5 - 160715435 GABRB2
chr15 - 26788693 GABRB3
chr1 + 1950767 GABRD
chrX - 151121595 GABRE
chr4 - 46037786 GABRG1
chr5 + 161494647 GABRG2
chr15 + 27216428 GABRG3
chr5 + 170210722 GABRP
chrX + 151806636 GABRQ
chr6 - 89887222 GABRR1
chr6 - 89964185 GABRR2
chr3 - 97705526 GABRR3
chr2 + 171673199 GAD1
chr10 + 26505235 GAD2
chr1 + 68150859 GADD45A
chr19 + 2476122 GADD45B
chr9 + 92219926 GADD45G
chr19 - 13064969 GADD45GIP1
chr3 - 30767691 GADL1
chrX + 49363615 GAGE1
chrX + 49160124 GAGE10
chrX + 49325433 GAGE12D
chrX + 49296745 GAGE12F
chrX + 49178508 GAGE12J
chrX + 49188080 GAGE13
chrX + 49197581 GAGE2A
chrX + 49235707 GAGE2B
chrX + 49226170 GAGE2C
chrX + 49197562 GAGE2D
chrX + 49178515 GAGE2E
chrX + 49216648 GAGE4
chrX + 49207159 GAGE8
chr4 - 843062 GAK
chr11 + 68451942 GAL
chr22 - 30950621 GAL3ST1
chr2 + 242716239 GAL3ST2
chr11 - 65808235 GAL3ST3
chr7 - 99756864 GAL3ST4
chr14 - 88399357 GALC
chr1 - 24122088 GALE
chr17 - 73754017 GALK1
chr15 + 49462212 GALK2
chr2 + 38893051 GALM
chr16 - 88880141 GALNS
chr18 + 33234532 GALNT1
chr5 + 153570294 GALNT10
chr7 + 151722758 GALNT11
chr9 + 101569980 GALNT12
chr2 + 154728410 GALNT13
chr2 - 31133332 GALNT14
chr1 + 230202941 GALNT2
chr2 - 166604312 GALNT3
chr12 - 89913189 GALNT4
chr2 + 158114109 GALNT5
chr12 - 51745832 GALNT6
chr4 + 174089903 GALNT7
chr12 + 4829751 GALNT8
chr12 - 132680916 GALNT9
chr7 + 151653463 GALNTL5
chr4 + 172734574 GALNTL6
chr19 + 56687388 GALP
chr18 + 74962007 GALR1
chr17 + 74070881 GALR2
chr22 + 38219388 GALR3
chr9 + 34646585 GALT
chr19 - 1397024 GAMT
chr16 + 81348570 GAN
chr11 - 62392297 GANAB
chr15 + 42565855 GANC
chr3 + 115342150 GAP43
chr12 + 6643570 GAPDH
chr19 + 36024313 GAPDHS
chr5 + 57787261 GAPT
chr9 + 128024072 GAPVD1
chr4 + 110736665 GAR1
chr9 + 130025940 GARNL3
chr7 + 30634350 GARS
chr21 - 34876237 GART
chr9 - 89559276 GAS1
chr11 + 22689653 GAS2
chr22 + 29702984 GAS2L1
chr17 - 34071529 GAS2L2
chr12 + 100987395 GAS2L3
chr1 - 173833038 GAS5
chr13 - 114523521 GAS6
chr17 - 9813925 GAS7
chr16 + 90086036 GAS8
chr17 + 39868577 GAST
chrX + 48644981 GATA1
chr3 - 128198264 GATA2
chr10 + 8096666 GATA3
chr8 + 11534427 GATA4
chr20 - 61038552 GATA5
chr18 + 19749397 GATA6
chr7 + 92076761 GATAD1
chr19 + 19496641 GATAD2A
chr1 - 153777382 GATAD2B
chr12 + 120884240 GATC
chr15 - 45653321 GATM
chr7 - 99798277 GATS
chr1 - 155204238 GBA
chr9 - 35736862 GBA2
chr4 + 22694536 GBA3
chr1 - 155183615 GBAP1
chr7 + 56032269 GBAS
chr3 - 81538849 GBE1
chr10 + 104005254 GBF1
chr9 - 136028334 GBGT1
chr1 - 89517986 GBP1
chr1 - 89571815 GBP2
chr1 - 89472359 GBP3
chr1 - 89646830 GBP4
chr1 - 89724633 GBP5
chr1 + 89829435 GBP6
chr1 - 89597433 GBP7
chr7 - 150845675 GBX1
chr2 - 237073878 GBX2
chr4 - 72607410 GC
chr2 + 163200890 GCA
chr22 + 38203911 GCAT
chr7 - 127220681 GCC1
chr2 + 109065576 GCC2
chr19 + 13001942 GCDH
chr2 - 162999378 GCG
chr17 + 79762007 GCGR
chr14 - 55308723 GCH1
chr15 + 41056284 GCHFR
chr7 - 44183869 GCK
chr2 + 27719705 GCKR
chr6 - 53362139 GCLC
chr1 - 94350755 GCLM
chr6 - 52991759 GCM1
chr6 - 10873455 GCM2
chr9 + 79074067 GCNT1
chr6 + 10555948 GCNT2
chr15 + 59903981 GCNT3
chr5 - 74323288 GCNT4
chr20 - 55066547 GCNT7
chr15 + 57884101 GCOM1
chr16 - 81115551 GCSH
chr9 + 74729510 GDA
chr8 + 75262617 GDAP1
chr20 + 42875897 GDAP1L1
chr1 - 118419333 GDAP2
chr16 - 19513014 GDE1
chr19 - 18979354 GDF1
chr10 - 48425778 GDF10
chr12 + 56137063 GDF11
chr19 + 18496769 GDF15
chr10 - 48411773 GDF2
chr12 - 7842377 GDF3
chr20 - 34021144 GDF5
chr8 - 97154560 GDF6
chr2 + 20866423 GDF7
chr5 - 132196873 GDF9
chrX + 153665258 GDI1
chr10 - 5807185 GDI2
chr5 - 37812778 GDNF
chr17 + 57297827 GDPD1
chrX + 69642880 GDPD2
chr16 - 30116130 GDPD3
chr11 - 76927602 GDPD4
chr11 - 75145684 GDPD5
chr8 - 95261484 GEM
chr17 - 647660 GEMIN4
chr5 - 154266975 GEMIN5
chr2 + 39005326 GEMIN6
chr19 + 45583162 GEMIN7
chrX - 14024844 GEMIN8
chr1 - 90458823 GEMIN8P4
chr2 + 17935124 GEN1
chr7 + 916190 GET4
chr17 - 42987034 GFAP
chr16 + 2034149 GFER
chr1 - 92940317 GFI1
chr9 + 135820931 GFI1B
chr3 + 158362316 GFM1
chr5 - 74017028 GFM2
chr6 - 13363586 GFOD1
chr16 - 67708435 GFOD2
chr2 - 69546900 GFPT1
chr5 - 179727689 GFPT2
chr10 - 117816441 GFRA1
chr8 - 21549529 GFRA2
chr5 - 137588068 GFRA3
chr20 - 3639938 GFRA4
chr6 + 55192266 GFRAL
chr22 + 38005046 GGA1
chr16 - 23474862 GGA2
chr17 - 73232686 GGA3
chr7 - 30536236 GGCT
chr2 - 85785847 GGCX
chr8 - 63927638 GGH
chr19 - 38874991 GGN
chr6 + 33551475 GGNBP1
chr17 + 34900736 GGNBP2
chr1 + 235491868 GGPS1
chr22 + 24979717 GGT1
chr22 - 18761201 GGT3P
chr22 - 24615621 GGT5
chr17 - 4460221 GGT6
chr20 - 33432522 GGT7
chr2 + 91963367 GGT8P
chr20 - 23965689 GGTLC1
chr22 + 22987090 GGTLC2
chr17 - 61994552 GH1
chr17 - 61957571 GH2
chr17 - 40341104 GHDC
chr10 + 85899184 GHITM
chr5 + 42425093 GHR
chr20 - 35879489 GHRH
chr7 + 31003635 GHRHR
chr3 - 10327433 GHRL
chr3 + 10322635 GHRLOS
chr3 - 172161080 GHSR
chr11 - 59596745 GIF
chr7 - 100277129 GIGYF1
chr2 + 233562014 GIGYF2
chr7 + 150413644 GIMAP1
chr7 + 150382793 GIMAP2
chr7 + 150264457 GIMAP4
chr7 + 150434435 GIMAP5
chr7 - 150322463 GIMAP6
chr7 + 150211944 GIMAP7
chr7 + 150147717 GIMAP8
chr5 - 102421703 GIN1
chr20 + 25388318 GINS1
chr16 - 85711279 GINS2
chr16 + 58426297 GINS3
chr8 + 41386724 GINS4
chr17 - 47035917 GIP
chr19 - 14588570 GIPC1
chr1 + 78510645 GIPC2
chr19 + 3585568 GIPC3
chr19 + 46171501 GIPR
chr17 - 27900486 GIT1
chr12 - 110367596 GIT2
chr6 + 121756722 GJA1
chr6 + 90604187 GJA10
chr13 - 20712394 GJA3
chr1 + 35258598 GJA4
chr1 - 147228331 GJA5
chr1 + 147374945 GJA8
chr1 - 39339738 GJA9
chrX + 70443055 GJB1
chr13 - 20761603 GJB2
chr1 + 35246789 GJB3
chr1 + 35225341 GJB4
chr1 + 35220647 GJB5
chr13 - 20796100 GJB6
chr6 - 87992696 GJB7
chr17 - 42875815 GJC1
chr1 + 228337414 GJC2
chr7 - 99520891 GJC3
chr15 - 35044641 GJD2
chr17 - 38516904 GJD3
chr10 + 35894337 GJD4
chrX + 30671475 GK
chr4 - 80327506 GK2
chr4 - 166198943 GK3P
chr3 - 141876368 GK5
chr9 - 86354335 GKAP1
chr2 + 69201704 GKN1
chr2 - 69172363 GKN2
chrX - 100652778 GLA
chr3 - 33038099 GLB1
chr2 - 220101319 GLB1L
chr11 + 134201767 GLB1L2
chr11 + 134146274 GLB1L3
chr7 + 8008373 GLCCI1
chr15 + 69452935 GLCE
chr9 - 6532463 GLDC
chr15 + 51669442 GLDN
chr9 + 131266970 GLE1
chr16 - 74481325 GLG1
chr12 + 57853917 GLI1
chr2 + 121554866 GLI2
chr7 - 42000547 GLI3
chr8 + 144349606 GLI4
chr12 + 75874512 GLIPR1
chr12 + 75728418 GLIPR1L1
chr12 + 75784849 GLIPR1L2
chr9 + 36136532 GLIPR2
chr1 - 53971905 GLIS1
chr16 + 4364761 GLIS2
chr9 - 3824127 GLIS3
chr1 - 92711954 GLMN
chr6 - 38643701 GLO1
chr17 - 662548 GLOD4
chrX + 48620153 GLOD5
chr6 + 39016556 GLP1R
chr17 + 9728867 GLP2R
chr5 - 151202073 GLRA1
chrX + 14547419 GLRA2
chr4 - 175563161 GLRA3
chrX - 102962271 GLRA4
chr4 + 157997276 GLRB
chr5 - 95149552 GLRX
chr1 - 193065594 GLRX2
chr10 + 131934672 GLRX3
chr14 + 96001322 GLRX5
chr2 + 191745546 GLS
chr12 - 56864727 GLS2
chr12 + 129337978 GLT1D1
chr9 - 138515501 GLT6D1
chr3 - 52728499 GLT8D1
chr12 - 104382760 GLT8D2
chr12 - 110288747 GLTP
chr17 + 4692253 GLTPD2
chr19 + 48111452 GLTSCR1
chr10 - 88809958 GLUD1
chrX + 120181461 GLUD2
chr1 - 182347227 GLUL
chr11 - 58476229 GLYAT
chr11 + 58710721 GLYATL1
chr11 - 58601539 GLYATL2
chr6 + 49467670 GLYATL3
chr12 - 55001970 GLYCAM1
chr3 + 52321835 GLYCTK
chr16 - 4853203 GLYR1
chr5 + 150632612 GM2A
chr2 + 70056737 GMCL1
chr6 - 1624034 GMDS
chr1 + 28995239 GMEB1
chr20 - 62218946 GMEB2
chr14 - 54941208 GMFB
chr19 - 39818996 GMFG
chr19 - 19740281 GMIP
chr8 + 143916216 GML
chr6 + 24775158 GMNN
chr2 + 220363586 GMPPA
chr3 - 49758908 GMPPB
chr6 + 16238810 GMPR
chr14 + 24701627 GMPR2
chr3 + 155588324 GMPS
chr19 + 3094407 GNA11
chr7 - 2767740 GNA12
chr17 - 63005406 GNA13
chr9 - 80037994 GNA14
chr19 + 3136029 GNA15
chr7 + 79765070 GNAI1
chr3 + 50264119 GNAI2
chr1 + 110091185 GNAI3
chr18 + 11751470 GNAL
chr16 + 56225250 GNAO1
chr9 - 80331189 GNAQ
chr20 + 57466357 GNAS
chr3 + 50229042 GNAT1
chr1 - 110145888 GNAT2
chr7 - 80087950 GNAT3
chr22 + 23412539 GNAZ
